STATE,CITY,DAY,MONTH,HARM_EV,MAN_COLL,TYP_INT,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS,DRUNK_DR
1,530,5,2,14,0,1,1,1,1,0,1,0,0,0,1,0
1,2130,19,1,8,0,1,0,2,1,0,1,19,0,0,1,1
1,0,31,1,34,0,1,0,2,1,0,1,0,0,0,1,1
1,0,2,2,12,2,1,0,2,1,0,1,0,0,0,1,1
1,2550,2,2,12,2,1,0,3,1,0,1,0,0,0,1,1
1,0,2,2,12,6,3,0,1,1,0,1,0,0,0,1,0
1,0,2,2,42,0,1,0,1,10,0,10,0,0,0,1,0
1,0,3,2,42,0,1,0,1,1,0,1,0,0,0,1,1
1,0,3,2,34,0,1,0,2,2,0,2,0,0,0,1,1
1,2465,4,2,42,0,1,0,2,99,0,99,0,0,0,1,1
1,2190,4,2,32,0,1,0,2,2,0,2,0,0,0,1,0
1,2100,7,2,12,6,1,0,3,10,0,10,0,0,0,1,1
1,0,8,2,43,0,1,0,2,10,0,10,0,0,0,1,1
1,3270,8,2,23,0,1,0,1,1,0,1,0,0,0,1,1
1,890,8,2,42,0,1,0,3,10,0,10,0,0,0,1,1
1,1806,8,2,8,0,1,0,2,1,0,1,0,0,0,1,0
1,0,8,2,42,0,1,0,1,1,0,1,0,0,0,1,0
1,0,9,2,1,0,1,0,1,1,0,1,0,0,0,1,0
1,0,9,2,12,6,2,0,2,2,0,2,0,0,0,1,1
1,0,10,2,12,2,1,0,1,1,0,1,0,0,0,1,1
1,0,10,2,42,0,1,0,1,2,0,2,0,0,0,1,0
1,0,11,2,42,0,1,0,1,10,0,10,0,0,0,1,1
1,1500,11,2,19,0,1,0,1,10,0,10,0,0,0,1,0
1,802,11,2,12,1,3,0,2,2,0,2,0,0,0,1,0
1,1870,12,2,8,0,1,0,2,2,0,2,0,0,0,1,0
1,0,12,2,12,2,1,1,1,10,0,10,0,0,0,1,0
1,0,12,2,35,0,1,0,1,10,0,10,0,0,0,1,0
1,0,13,2,12,2,1,0,1,10,0,10,0,0,0,1,0
1,0,14,2,42,0,1,0,2,2,0,2,0,0,0,1,0
1,2910,15,2,35,0,1,0,1,10,0,10,0,0,0,1,0
1,0,15,2,35,0,1,0,2,1,0,1,0,0,0,1,0
1,1970,12,2,34,0,1,0,1,10,0,10,0,0,0,1,0
1,0,17,2,42,0,1,0,2,10,0,10,0,0,0,1,0
1,200,18,2,8,0,1,0,2,2,0,2,0,0,0,1,0
1,0,18,2,35,0,3,0,2,1,0,1,0,0,0,1,1
1,0,19,2,8,0,1,0,2,10,0,10,0,0,0,1,0
1,0,21,2,12,2,1,0,1,10,0,10,0,0,0,1,0
1,0,21,2,34,0,1,0,1,10,0,10,20,0,0,1,0
1,0,21,2,42,0,1,0,2,1,0,1,0,0,0,1,1
1,0,23,2,12,6,3,0,1,1,0,1,0,0,0,1,0
1,330,23,2,12,1,1,0,3,1,0,1,0,0,0,1,0
1,890,23,2,12,1,1,0,1,1,0,1,0,0,0,1,1
1,1852,23,2,1,0,1,0,1,1,0,1,0,0,0,1,0
1,0,23,2,12,6,1,0,3,10,0,10,0,0,0,1,0
1,2440,24,2,8,0,2,0,3,10,0,10,0,0,0,1,0
1,0,24,2,12,6,2,0,1,10,0,10,0,0,0,1,0
1,350,24,2,12,6,2,0,1,10,0,10,0,0,0,1,0
1,0,25,2,1,0,1,0,1,2,0,2,0,0,0,1,0
1,0,25,2,42,0,1,0,1,2,0,2,0,0,0,1,0
1,0,27,2,12,6,3,0,2,5,0,5,0,0,0,1,0
1,0,28,2,30,0,1,0,4,2,0,2,0,0,0,1,0
1,350,28,2,33,0,1,0,1,2,0,2,0,0,0,1,0
1,0,1,3,35,0,1,0,1,10,0,10,0,0,0,1,0
1,0,1,3,34,0,1,0,2,10,0,10,0,0,0,1,0
1,0,1,3,12,2,1,0,2,10,0,10,0,0,0,1,0
1,0,2,3,35,0,1,0,2,1,0,1,0,0,0,1,1
1,2130,2,3,12,2,1,0,1,1,0,1,0,0,0,1,0
1,810,6,3,32,0,1,0,1,10,0,10,0,0,0,1,0
1,0,23,2,12,1,1,2,1,1,0,1,26,0,0,1,0
1,0,25,2,12,1,1,0,2,2,0,2,0,0,0,1,1
1,350,5,3,8,0,1,0,2,2,0,2,0,0,0,1,0
1,0,25,3,8,0,1,0,2,1,0,1,0,0,0,1,0
1,2130,5,3,8,0,1,0,3,10,0,10,18,0,0,1,0
1,50,6,3,8,0,1,0,2,10,0,10,0,0,0,1,0
1,2100,6,3,12,2,1,0,5,1,0,1,0,0,0,1,0
1,0,9,3,8,0,1,0,2,1,0,1,0,0,0,1,0
1,0,11,3,12,2,1,0,1,2,0,2,0,0,0,2,0
1,1730,11,3,30,0,1,0,3,2,0,2,0,0,0,1,0
1,0,11,3,1,0,1,0,5,1,0,1,0,0,0,1,0
1,3050,12,3,33,0,2,0,1,1,0,1,0,0,0,1,0
1,2340,13,3,12,2,1,0,1,1,0,1,0,0,0,1,1
1,1770,6,2,8,0,1,0,3,2,0,2,0,0,0,1,0
1,0,22,2,42,0,1,0,1,1,0,1,0,0,0,1,1
1,350,23,2,12,2,1,0,2,10,0,10,0,0,0,1,1
